Core Gene Signature of Human CD69+ Memory T Cells (TRM) from Kumar et al., Cell Reports 2017;;
Gene;up;down
CD69;TRUE;FALSE
CA10;TRUE;FALSE
ITGA1;TRUE;FALSE
ITGAE;TRUE;FALSE
IL2;TRUE;FALSE
IL10;TRUE;FALSE
CXCR6;TRUE;FALSE
CXCL13;TRUE;FALSE
KCNK5;TRUE;FALSE
RGS1;TRUE;FALSE
CRTAM;TRUE;FALSE
DUSP6;TRUE;FALSE
PDCD1;TRUE;FALSE
IL23R;TRUE;FALSE
STK38;FALSE;TRUE
TTC16;FALSE;TRUE
SELL;FALSE;TRUE
KLF3;FALSE;TRUE
KLF2;FALSE;TRUE
D4S234E;FALSE;TRUE
SBK1;FALSE;TRUE
FAM65B;FALSE;TRUE
TTYH2;FALSE;TRUE
NPDC1;FALSE;TRUE
KRT72;FALSE;TRUE
SOX13;FALSE;TRUE
KRT73;FALSE;TRUE
TSPAN18;FALSE;TRUE
PTGDS;FALSE;TRUE
RAP1GAP2;FALSE;TRUE
CX3CR1;FALSE;TRUE
